incident_id,incident_text,veris_actor,veris_action,veris_asset,veris_attribute,expert_attack_ids,notes
0001AA7F-C601-424A-B2B8-BE6C9F5164E7,A billing clerk filed a claim for Patient A without consent to bill for 7332 protected health information. The bill has been cancelled.,"[""internal.motive:Unknown"", ""internal.variety:Unknown""]","[""misuse.variety:Privilege abuse"", ""misuse.vector:LAN access""]","[""assets.variety:S - Database"", ""cloud:Unknown""]","[""confidentiality.data.variety:Unknown"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.data_total:1"", ""integrity.variety:Fraudulent transaction""]",,
0eb22d90-8e87-11ec-a600-657ec2694f8f,Presitge Software accidently misconfigured their s3 buckets,"[""internal.motive:NA"", ""internal.variety:System admin""]","[""error.variety:Misconfiguration"", ""error.vector:Carelessness""]","[""assets.amount:1"", ""assets.variety:S - File"", ""cloud:External Cloud Asset(s)"", ""role:IT"", ""total_amount:1""]","[""confidentiality.data.variety:Payment"", ""confidentiality.data.variety:Personal"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.data_victim:Customer"", ""confidentiality.state:Stored""]",,
0008DADB-E83D-4278-A19A-CEE01610CF43,"Patients at an Oregon healthcare facility were notified this week that their protected health information (PHI) was potentially exposed after the theft of an employee laptop. A Corvallis Clinic employee was attending a work-related conference in Portland in mid-November and had a personal laptop in their locked car. The laptop contained limited health information, according to a privacy disclosure posted on the Corvallis website.2014-01-27-873331","[""external.country:Unknown"", ""external.motive:Financial"", ""external.region:000000"", ""external.variety:Unknown""]","[""physical.variety:Theft"", ""physical.vector:Personal vehicle""]","[""assets.variety:U - Desktop or laptop"", ""assets.variety:U - Laptop"", ""cloud:Unknown""]","[""availability.variety:Loss"", ""confidentiality.data.variety:Personal"", ""confidentiality.data_disclosure:Potentially"", ""confidentiality.data_victim:Patient"", ""confidentiality.state:Stored unencrypted""]",,
000D403E-2DC9-4EA7-9294-BD3938D1C3C7,"Jersey City Medical Center said a computer disk containing 2011 Medicaid patient information was lost in June when a package sent via United Parcel Service failed to arrive. The medical center, part of the Barnabas Health system, said that on June 13, 2014, it sent the disk to a company engaged by New Jersey Medicaid to help the state review certain types of payments to hospitals in New Jersey. The unencrypted CD was scheduled to be delivered Jun","[""partner.country:Unknown"", ""partner.industry:000"", ""partner.motive:Unknown"", ""partner.notes:Medi-Waste Disposal"", ""partner.region:000000""]","[""error.variety:Loss"", ""error.vector:Unknown""]","[""assets.variety:M - Disk media"", ""cloud:Unknown""]","[""availability.variety:Loss"", ""confidentiality.data.variety:Personal"", ""confidentiality.data_disclosure:Potentially"", ""confidentiality.data_victim:Patient"", ""confidentiality.state:Stored unencrypted""]",,
0012CC25-9167-40D8-8FE3-3D0DFD8FB6BB,"Sensitive information belonging to jobseekers has been put at risk on the government's new Universal Jobmatch website, it has been reported. The security flaw was uncovered during a Channel 4 News investigation. Hackers were said to have been able to register as an employer on the site which is accessed through the Gov.uk portal – another website that has just been launched by the government to deliver more public services online. The hackers wer","[""external.country:Unknown"", ""external.motive:Financial"", ""external.region:000000"", ""external.variety:Unknown""]","[""hacking.variety:Exploit vuln"", ""hacking.variety:Other"", ""hacking.vector:Web application""]","[""assets.variety:S - Web application"", ""cloud:Unknown""]","[""confidentiality.data.variety:Personal"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.data_victim:Customer"", ""confidentiality.state:Stored unencrypted""]",T1190,
00163384-B4D7-46D5-9E6F-543DFB00F598,"Veteran A returned a hard copy written prescription order for Veteran B that he received along with his appointment letter. The prescription order contained Veteran B's name, address, date of birth and medication information. This is informational for Mis-Handling incidents and is the representative ticket. There were a total of 87 Mis-Handling incidents this reporting period. Because of repetition, the other 86 are not included in this report, b","[""internal.motive:NA"", ""internal.variety:Unknown""]","[""error.variety:Misdelivery"", ""error.vector:Carelessness""]","[""assets.variety:M - Documents"", ""cloud:Unknown""]","[""confidentiality.data.variety:Unknown"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.data_total:87""]",,
00163384-B4D7-46D5-9E6F-543DFB00F598,"Veteran A returned a hard copy written prescription order for Veteran B that he received along with his appointment letter. The prescription order contained Veteran B's name, address, date of birth and medication information. This is informational for Mis-Handling incidents and is the representative ticket. There were a total of 87 Mis-Handling incidents this reporting period. Because of repetition, the other 86 are not included in this report, b","[""internal.motive:NA"", ""internal.variety:Unknown""]","[""error.variety:Misdelivery"", ""error.vector:Carelessness""]","[""assets.variety:M - Documents"", ""cloud:Unknown""]","[""confidentiality.data.variety:Unknown"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.data_total:87""]",,
9eda6e80-de98-11e7-9424-7b935f12be98,Officials say an employee database was hacked at Lexington Medical Center. Thousands of records have been exposed including social security numbers and W-2 forms of current and former employees.,"[""external.country:US"", ""external.motive:Financial"", ""external.region:019021"", ""external.variety:Other""]","[""hacking.variety:Unknown"", ""hacking.vector:Web application""]","[""assets.amount:1"", ""assets.variety:S - Web application"", ""cloud:Unknown"", ""country:US"", ""notes:Following enumerations present before veris 1.3.3 removed: asset.governance.Personally owned."", ""total_amount:1""]","[""confidentiality.data.variety:Personal"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.data_victim:Employee"", ""confidentiality.state:Stored""]",T1190,
00224226-4A39-435C-BFFD-672B5D61C7C1,leaked info from Azerbaijan electrical producer,"[""external.country:Unknown"", ""external.motive:Ideology"", ""external.region:000000"", ""external.variety:Activist""]","[""hacking.variety:Unknown"", ""hacking.vector:Web application""]","[""assets.variety:S - Web application"", ""cloud:Unknown""]","[""availability.variety:Loss"", ""confidentiality.data.variety:Internal"", ""confidentiality.data_disclosure:Yes"", ""confidentiality.notes:article says 7 GB's of sensitive data. no other details."", ""confidentiality.state:Unknown""]",T1190,
002599D4-A872-433B-9980-BD9F257B283F,"A group of patients filed a class-action lawsuit against Sutter Health this week, after it was revealed a laptop containing information on more than 4 million patients was stolen from the headquarters of the Sutter Medical Foundation (SMF) in Natomas, California.","[""external.country:Unknown"", ""external.motive:Unknown"", ""external.region:000000"", ""external.variety:Unknown""]","[""physical.variety:Theft"", ""physical.vector:Unknown""]","[""assets.variety:U - Desktop"", ""assets.variety:U - Desktop or laptop"", ""cloud:Unknown""]","[""availability.variety:Loss"", ""confidentiality.data.amount:4243434"", ""confidentiality.data.variety:Medical"", ""confidentiality.data_disclosure:Potentially"", ""confidentiality.data_total:943434""]",,
