query_incident_id,rank,example_incident_id,similarity,example_text,example_veris_action
0001AA7F-C601-424A-B2B8-BE6C9F5164E7,1,003F5B6A-CA75-4694-AA76-FE9498FF0C3E,0.2683,IRS employee leaks confidential information from a political group's tax returns.,"[""misuse.variety:Data mishandling"", ""misuse.vector:LAN access""]"
0001AA7F-C601-424A-B2B8-BE6C9F5164E7,2,7FBE1079-2038-4742-AD27-9F247E00D4D7,0.2457,insider cop leaked infor,"[""misuse.variety:Data mishandling"", ""misuse.vector:LAN access"", ""social.target:Manager"", ""social.variety:Pretexting"", ""social.vector:Phone""]"
0001AA7F-C601-424A-B2B8-BE6C9F5164E7,3,005C42A3-3FE8-47B5-866B-AFBB5E3F5B95,0.2165,,"[""error.variety:Disposal error"", ""error.vector:Unknown""]"
0eb22d90-8e87-11ec-a600-657ec2694f8f,1,005C42A3-3FE8-47B5-866B-AFBB5E3F5B95,0.3274,,"[""error.variety:Disposal error"", ""error.vector:Unknown""]"
0eb22d90-8e87-11ec-a600-657ec2694f8f,2,004BC977-E210-4AF8-8778-572E168A7B9E,0.247,Loss of portable electronic device,"[""error.variety:Loss"", ""error.vector:Unknown""]"
0eb22d90-8e87-11ec-a600-657ec2694f8f,3,f711e1f0-a38d-11e7-a67b-81fbdaca3f85,0.232,"Data breach made public, Ridgeview Medical Center says it exposed some email addresses","[""error.variety:Gaffe"", ""error.vector:Carelessness""]"
0008DADB-E83D-4278-A19A-CEE01610CF43,1,000D403E-2DC9-4EA7-9294-BD3938D1C3C7,0.3206,"Jersey City Medical Center said a computer disk containing 2011 Medicaid patient information was lost in June when a package sent via United Parcel Service failed to arrive.  The medical center, part of the Barnabas Health system, said that on June 13, 2014, it sent the disk to a company engaged by New Jersey Medicaid to help the state review certain types of payments to hospitals in New Jersey.   The unencrypted CD was scheduled to be delivered June 16, but the medical center said it learned on or about that date, that the package did not arrive as scheduled.  The medical center did not reveal the number of patients whose information was on the disk. It said letters are being sent to the affected patients and that While UPS has no evidence that personal information has been made available to any unauthorized parties, or misused in any way, patients are being advised to be aware of any suspicious activity and to monitor their credit reports and financial accounts.  All those impacted are being offered 12 months of free professional identity monitoring services.  The CD did not include addresses, personal contact information or specific medical information.  The medical center said the CD did include the patients name, and for a majority of the patients, their Social Security numbers and birth dates.  The medical center said We have followed up extensively with UPS regarding this incident, attempting to ensure that UPS has followed all of its internal procedures designed to locate missing packages.  And Jersey City Medical Center said it has taken measures to avoid similar incidents in the future and that technological measures and retraining are being implemented to minimize the chance of such incidents.","[""error.variety:Loss"", ""error.vector:Unknown""]"
0008DADB-E83D-4278-A19A-CEE01610CF43,2,0012CC25-9167-40D8-8FE3-3D0DFD8FB6BB,0.2492,"Sensitive information belonging to jobseekers has been put at risk on the government's new Universal Jobmatch website, it has been reported.  The security flaw was uncovered during a Channel 4 News investigation. Hackers were said to have been able to register as an employer on the site which is accessed through the Gov.uk portal – another website that has just been launched by the government to deliver more public services online.  The hackers were reported to have obtained information including passwords and passport and driving licence scans after posting a fake advert for a cleaner on Universal Jobmatch.","[""hacking.variety:Exploit vuln"", ""hacking.variety:Other"", ""hacking.vector:Web application""]"
0008DADB-E83D-4278-A19A-CEE01610CF43,3,002599D4-A872-433B-9980-BD9F257B283F,0.2203,"A group of patients filed a class-action lawsuit against Sutter Health this week, after it was revealed a laptop containing information on more than 4 million patients was stolen from the headquarters of the Sutter Medical Foundation (SMF) in Natomas, California.","[""physical.variety:Theft"", ""physical.vector:Unknown""]"
000D403E-2DC9-4EA7-9294-BD3938D1C3C7,1,0008DADB-E83D-4278-A19A-CEE01610CF43,0.3206,"Patients at an Oregon healthcare facility were notified this week that their protected health information (PHI) was potentially exposed after the theft of an employee laptop.  A Corvallis Clinic employee was attending a work-related conference in Portland in mid-November and had a personal laptop in their locked car. The laptop contained limited health information, according to a privacy disclosure posted on the Corvallis website.2014-01-27-87333166  Potentially compromised information includes patient names, dates of birth, name of treating healthcare provider, and the reason for a clinic visit. Social Security numbers or financial information are not believed to have been included. Moreover, only patients seen within the last two years are said to potentially be affected.  This was a breach of Clinic policy in that patient health information was reported to have been maintained on the employees personal laptop that had not been evaluated or cleared for use by The Clinics IT security officer, the statement read.  The employee reportedly notified supervisors and authorities within 24 hours of the theft taking place. While the incident took place in mid-November, Corvallis explained that it is notifying the public and media earlier than required by federal law. The clinic chose to do this because it takes the issue very seriously and is dedicated to the privacy and security of patient information.  While the laptop had a highly secure alpha-numeric password, Corvallis added that the data stored on the laptop was not encrypted. However, the clinic stated that is thinks a breach of PHI is unlikely.  The Clinics primary ethical responsibility is to our patients, the clinic stated. We are doing our due diligence to try to ascertain what information is contained on the spreadsheet and how many patients were listed. However, unless the laptop is recovered, the exact details of the information and the total number of patients listed may never be known.  This incident is another example of the importance of HIPAA administrative safeguards. Employees at all levels need to understand how to keep patients PHI safe at all times. For example, storing sensitive information on a personal laptop is not a secure way to transport data.  Another factor to keep in mind is that organizations could be found liable for their employees actions. Walgreens was told by an Indiana Court that it was responsible for HIPAA violations committed by one of its employees. The worker inappropriately accessed an individuals prescription medication information and exposed it to another person.  By choosing to appeal Walgreen has now created a precedent  confirming that privacy breach victims may hold employers accountable for the HIPAA violations of their employees, explained the plaintiffs lawyer, Neal Eggeson Jr.","[""physical.variety:Theft"", ""physical.vector:Personal vehicle""]"
